First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
533,312,273,533 x 312,533 x 312 x 273,0,0,0,0,0,0,273.3,0,577.1,320.2,0,21.1,37.6,12.7,0,476.5,0,22.6,3.64,0,0,0,13,160,52,2.37,8.67,199000,20600,0,0,23.9,7.69,0,0,6890,1290,0,0,0,7870,1990,0,0.891,15.9,15.0,0,1290,0,0,0,0,0,0,348
533,312,219,533 x 312,533 x 312 x 219,0,0,0,0,0,0,218.8,0,560.3,317.4,0,18.3,29.2,12.7,0,476.5,0,26.0,4.69,0,0,0,11,160,42,2.33,10.6,151000,15600,0,0,23.3,7.48,0,0,5400,982,0,0,0,6120,1510,0,0.884,19.8,11.0,0,642,0,0,0,0,0,0,279
533,312,182,533 x 312,533 x 312 x 182,0,0,0,0,0,0,181.5,0,550.7,314.5,0,15.2,24.4,12.7,0,476.5,0,31.3,5.61,0,0,0,10,160,38,2.31,12.7,123000,12700,0,0,23.1,7.40,0,0,4480,806,0,0,0,5040,1240,0,0.887,23.4,8.77,0,373,0,0,0,0,0,0,231
533,312,151,533 x 312,533 x 312 x 151,0,0,0,0,0,0,150.6,0,542.5,312.0,0,12.7,20.3,12.7,0,476.5,0,37.5,6.75,0,0,0,8,160,34,2.29,15.2,101000,10300,0,0,22.9,7.32,0,0,3710,659,0,0,0,4150,1010,0,0.886,27.8,7.01,0,216,0,0,0,0,0,0,192
533,210,138,533 x 210,533 x 210 x 138,0,0,0,0,0,0,138.3,0,549.1,213.9,0,14.7,23.6,12.7,0,476.5,0,32.4,3.68,0,0,0,9,110,38,1.90,13.7,86100,3860,0,0,22.1,4.68,0,0,3140,361,0,0,0,3610,568,0,0.873,25.0,2.67,0,250,0,0,0,0,0,0,176
533,210,122,533 x 210,533 x 210 x 122,0,0,0,0,0,0,122.0,0,544.5,211.9,0,12.7,21.3,12.7,0,476.5,0,37.5,4.08,0,0,0,8,110,34,1.89,15.5,76000,3390,0,0,22.1,4.67,0,0,2790,320,0,0,0,3200,500,0,0.878,27.6,2.32,0,178,0,0,0,0,0,0,155
533,210,109,533 x 210,533 x 210 x 109,0,0,0,0,0,0,109.0,0,539.5,210.8,0,11.6,18.8,12.7,0,476.5,0,41.1,4.62,0,0,0,8,110,32,1.88,17.2,66800,2940,0,0,21.9,4.60,0,0,2480,279,0,0,0,2830,436,0,0.875,30.9,1.99,0,126,0,0,0,0,0,0,139
533,210,101,533 x 210,533 x 210 x 101,0,0,0,0,0,0,101.0,0,536.7,210.0,0,10.8,17.4,12.7,0,476.5,0,44.1,4.99,0,0,0,7,110,32,1.87,18.5,61500,2690,0,0,21.9,4.57,0,0,2290,256,0,0,0,2610,399,0,0.873,33.2,1.81,0,101,0,0,0,0,0,0,129
533,210,92,533 x 210,533 x 210 x 92,0,0,0,0,0,0,92.1,0,533.1,209.3,0,10.1,15.6,12.7,0,476.5,0,47.2,5.57,0,0,0,7,110,30,1.86,20.2,55200,2390,0,0,21.7,4.51,0,0,2070,228,0,0,0,2360,355,0,0.873,36.4,1.60,0,75.7,0,0,0,0,0,0,117
533,210,82,533 x 210,533 x 210 x 82,0,0,0,0,0,0,82.2,0,528.3,208.8,0,9.6,13.2,12.7,0,476.5,0,49.6,6.58,0,0,0,7,110,26,1.85,22.5,47500,2010,0,0,21.3,4.38,0,0,1800,192,0,0,0,2060,300,0,0.864,41.5,1.33,0,51.5,0,0,0,0,0,0,105
533,165,85,533 x 165,533 x 165 x 85,0,0,0,0,0,0,84.8,0,534.9,166.5,0,10.3,16.5,12.7,0,476.5,0,46.3,3.96,0,0,0,7,90,30,1.69,19.9,48500,1270,0,0,21.2,3.44,0,0,1820,153,0,0,0,2100,243,0,0.859,35.5,0.857,0,73.8,0,0,0,0,0,0,108
533,165,75,533 x 165,533 x 165 x 75,0,0,0,0,0,0,74.7,0,529.1,165.9,0,9.7,13.6,12.7,0,476.5,0,49.1,4.81,0,0,0,7,90,28,1.68,22.5,41100,1040,0,0,20.8,3.30,0,0,1550,125,0,0,0,1810,200,0,0.853,41.1,0.691,0,47.9,0,0,0,0,0,0,95.2
533,165,66,533 x 165,533 x 165 x 66,0,0,0,0,0,0,65.7,0,524.7,165.1,0,8.9,11.4,12.7,0,476.5,0,53.5,5.74,0,0,0,6,90,26,1.67,25.4,35000,859,0,0,20.5,3.20,0,0,1340,104,0,0,0,1560,166,0,0.847,47.0,0.566,0,32.0,0,0,0,0,0,0,83.7
