First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2],,,,,
203,203,127,203 x 203,203 x 203 x 127,0,0,0,0,0,0,127.5,0,241.4,213.9,0,18.1,30.1,10.2,0,160.8,0,8.88,2.91,0,0,0,11,108,42,1.28,10,15400,4920,0,0,9.75,5.5,0,0,1280,460,0,0,0,1520,704,0,0.856,7.36,0.549,0,427,0,0,0,0,0,0,162,,,,,
203,203,113,203 x 203,203 x 203 x 113,0,0,0,0,0,0,113.5,0,235,212.1,0,16.3,26.9,10.2,0,160.8,0,9.87,3.26,0,0,0,10,108,38,1.27,11.2,13300,4290,0,0,9.59,5.45,0,0,1130,404,0,0,0,1330,618,0,0.852,8.11,0.464,0,305,0,0,0,0,0,0,145,,,,,
203,203,100,203 x 203,203 x 203 x 100,0,0,0,0,0,0,99.6,0,228.6,210.3,0,14.5,23.7,10.2,0,160.8,0,11.1,3.7,0,0,0,9,108,34,1.25,12.6,11300,3680,0,0,9.44,5.39,0,0,988,350,0,0,0,1150,534,0,0.852,9.01,0.386,0,210,0,0,0,0,0,0,127,,,,,
203,203,86,203 x 203,203 x 203 x 86,0,0,0,0,0,0,86.1,0,222.2,209.1,0,12.7,20.5,10.2,0,160.8,0,12.7,4.29,0,0,0,8,110,32,1.24,14.4,9450,3130,0,0,9.28,5.34,0,0,850,299,0,0,0,977,456,0,0.849,10.2,0.318,0,137,0,0,0,0,0,0,110,,,,,
203,203,71,203 x 203,203 x 203 x 71,0,0,0,0,0,0,71,0,215.8,206.4,0,10,17.3,10.2,0,160.8,0,16.1,5.09,0,0,0,7,110,28,1.22,17.2,7620,2540,0,0,9.18,5.3,0,0,706,246,0,0,0,799,374,0,0.853,11.9,0.25,0,80.2,0,0,0,0,0,0,90.4,,,,,
203,203,60,203 x 203,203 x 203 x 60,0,0,0,0,0,0,60,0,209.6,205.8,0,9.4,14.2,10.2,0,160.8,0,17.1,6.2,0,0,0,7,110,26,1.21,20.2,6120,2060,0,0,8.96,5.2,0,0,584,201,0,0,0,656,305,0,0.846,14.1,0.197,0,47.2,0,0,0,0,0,0,76.4,,,,,
203,203,52,203 x 203,203 x 203 x 52,0,0,0,0,0,0,52,0,206.2,204.3,0,7.9,12.5,10.2,0,160.8,0,20.4,7.04,0,0,0,6,110,24,1.2,23.1,5260,1780,0,0,8.91,5.18,0,0,510,174,0,0,0,567,264,0,0.847,15.8,0.167,0,31.8,0,0,0,0,0,0,66.3,,,,,
203,203,46,203 x 203,203 x 203 x 46,0,0,0,0,0,0,46.1,0,203.2,203.6,0,7.2,11,10.2,0,160.8,0,22.3,8,0,0,0,6,110,22,1.19,25.8,4570,1550,0,0,8.82,5.13,0,0,450,152,0,0,0,497,231,0,0.847,17.7,0.143,0,22.2,0,0,0,0,0,0,58.7,,,,,
152,152,51,152 x 152,152 x 152 x 51,0,0,0,0,0,0,51.2,0,170.2,157.4,0,11,15.7,7.6,0,123.6,0,11.2,4.18,0,0,0,8,84,24,0.935,18.3,3230,1020,0,0,7.04,3.96,0,0,379,130,0,0,0,438,199,0,0.848,10.1,0.061,0,48.8,0,0,0,0,0,0,65.2,,,,,
152,152,44,152 x 152,152 x 152 x 44,0,0,0,0,0,0,44,0,166,155.9,0,9.5,13.6,7.6,0,123.6,0,13,4.82,0,0,0,7,84,22,0.924,21,2700,860,0,0,6.94,3.92,0,0,326,110,0,0,0,372,169,0,0.847,11.5,0.05,0,31.7,0,0,0,0,0,0,56.1,,,,,
152,152,37,152 x 152,152 x 152 x 37,0,0,0,0,0,0,37,0,161.8,154.4,0,8,11.5,7.6,0,123.6,0,15.5,5.7,0,0,0,6,84,20,0.912,24.6,2210,706,0,0,6.85,3.87,0,0,273,91.5,0,0,0,309,140,0,0.848,13.3,0.04,0,19.2,0,0,0,0,0,0,47.1,,,,,
152,152,30,152 x 152,152 x 152 x 30,0,0,0,0,0,0,30,0,157.6,152.9,0,6.5,9.4,7.6,0,123.6,0,19,6.98,0,0,0,5,84,18,0.901,30,1750,560,0,0,6.76,3.83,0,0,222,73.3,0,0,0,248,112,0,0.847,16.1,0.031,0,10.5,0,0,0,0,0,0,38.3,,,,,
152,152,23,152 x 152,152 x 152 x 23,0,0,0,0,0,0,23,0,152.4,152.2,0,5.8,6.8,7.6,0,123.6,0,21.3,9.65,0,0,0,5,84,16,0.889,38.7,1250,400,0,0,6.54,3.7,0,0,164,52.6,0,0,0,182,80.1,0,0.842,20.6,0.021,0,4.63,0,0,0,0,0,0,29.2,,,,,
