First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
90,90,6.0,90 x 90,90 x 90 x 6.0,N/A,N/A,15.1,N/A,90,90,N/A,6.0,6.0,N/A,N/A,N/A,N/A,12.0,12.0,N/A,N/A,N/A,N/A,N/A,N/A,0.339,22.5,220,220,N/A,N/A,3.39,3.39,N/A,N/A,49.0,49.0,N/A,N/A,N/A,59.5,59.5,N/A,N/A,N/A,N/A,N/A,368,74.2,N/A,N/A,N/A,N/A,N/A,19.2
100,100,3.0,100 x 100,100 x 100 x 3.0,N/A,N/A,8.96,N/A,100,100,N/A,3.0,3.0,N/A,N/A,N/A,N/A,30.3,30.3,N/A,N/A,N/A,N/A,N/A,N/A,0.390,43.5,177,177,N/A,N/A,3.94,3.94,N/A,N/A,35.4,35.4,N/A,N/A,N/A,41.2,41.2,N/A,N/A,N/A,N/A,N/A,279,53.2,N/A,N/A,N/A,N/A,N/A,11.4
100,100,4.0,100 x 100,100 x 100 x 4.0,N/A,N/A,11.7,N/A,100,100,N/A,4.0,4.0,N/A,N/A,N/A,N/A,22.0,22.0,N/A,N/A,N/A,N/A,N/A,N/A,0.386,33.0,226,226,N/A,N/A,3.89,3.89,N/A,N/A,45.3,45.3,N/A,N/A,N/A,53.3,53.3,N/A,N/A,N/A,N/A,N/A,362,68.1,N/A,N/A,N/A,N/A,N/A,14.9
100,100,5.0,100 x 100,100 x 100 x 5.0,N/A,N/A,14.4,N/A,100,100,N/A,5.0,5.0,N/A,N/A,N/A,N/A,17.0,17.0,N/A,N/A,N/A,N/A,N/A,N/A,0.383,26.6,271,271,N/A,N/A,3.84,3.84,N/A,N/A,54.2,54.2,N/A,N/A,N/A,64.6,64.6,N/A,N/A,N/A,N/A,N/A,441,81.7,N/A,N/A,N/A,N/A,N/A,18.4
100,100,6.0,100 x 100,100 x 100 x 6.0,N/A,N/A,17.0,N/A,100,100,N/A,6.0,6.0,N/A,N/A,N/A,N/A,13.7,13.7,N/A,N/A,N/A,N/A,N/A,N/A,0.379,22.3,311,311,N/A,N/A,3.79,3.79,N/A,N/A,62.3,62.3,N/A,N/A,N/A,75.1,75.1,N/A,N/A,N/A,N/A,N/A,514,94.1,N/A,N/A,N/A,N/A,N/A,21.6
100,100,8.0,100 x 100,100 x 100 x 8.0,N/A,N/A,21.4,N/A,100,100,N/A,8.0,8.0,N/A,N/A,N/A,N/A,9.50,9.50,N/A,N/A,N/A,N/A,N/A,N/A,0.366,17.1,366,366,N/A,N/A,3.67,3.67,N/A,N/A,73.2,73.2,N/A,N/A,N/A,91.1,91.1,N/A,N/A,N/A,N/A,N/A,645,114,N/A,N/A,N/A,N/A,N/A,27.2
120,120,3.0,120 x 120,120 x 120 x 3.0,N/A,N/A,10.8,N/A,120,120,N/A,3.0,3.0,N/A,N/A,N/A,N/A,37.0,37.0,N/A,N/A,N/A,N/A,N/A,N/A,0.470,43.5,312,312,N/A,N/A,4.76,4.76,N/A,N/A,52.1,52.1,N/A,N/A,N/A,60.2,60.2,N/A,N/A,N/A,N/A,N/A,488,78.2,N/A,N/A,N/A,N/A,N/A,13.8
120,120,4.0,120 x 120,120 x 120 x 4.0,N/A,N/A,14.2,N/A,120,120,N/A,4.0,4.0,N/A,N/A,N/A,N/A,27.0,27.0,N/A,N/A,N/A,N/A,N/A,N/A,0.466,32.8,402,402,N/A,N/A,4.71,4.71,N/A,N/A,67.0,67.0,N/A,N/A,N/A,78.3,78.3,N/A,N/A,N/A,N/A,N/A,637,101,N/A,N/A,N/A,N/A,N/A,18.1
120,120,5.0,120 x 120,120 x 120 x 5.0,N/A,N/A,17.5,N/A,120,120,N/A,5.0,5.0,N/A,N/A,N/A,N/A,21.0,21.0,N/A,N/A,N/A,N/A,N/A,N/A,0.463,26.5,485,485,N/A,N/A,4.66,4.66,N/A,N/A,80.9,80.9,N/A,N/A,N/A,95.4,95.4,N/A,N/A,N/A,N/A,N/A,778,122,N/A,N/A,N/A,N/A,N/A,22.4
120,120,6.0,120 x 120,120 x 120 x 6.0,N/A,N/A,20.7,N/A,120,120,N/A,6.0,6.0,N/A,N/A,N/A,N/A,17.0,17.0,N/A,N/A,N/A,N/A,N/A,N/A,0.459,22.2,562,562,N/A,N/A,4.61,4.61,N/A,N/A,93.7,93.7,N/A,N/A,N/A,112,112,N/A,N/A,N/A,N/A,N/A,913,141,N/A,N/A,N/A,N/A,N/A,26.4
