First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
193.7,4.5,N/A,193.7,193.7 x 4.5,N/A,N/A,21.0,N/A,193.7,193.7,N/A,4.5,4.5,N/A,N/A,N/A,43.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.609,29.0,1200,1200,N/A,N/A,6.69,6.69,N/A,N/A,124,124,N/A,N/A,N/A,161,161,N/A,N/A,N/A,N/A,N/A,2400,247,N/A,N/A,N/A,N/A,N/A,26.7
193.7,5.0,N/A,193.7,193.7 x 5.0,N/A,N/A,23.3,N/A,193.7,193.7,N/A,5.0,5.0,N/A,N/A,N/A,38.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.609,26.1,1320,1320,N/A,N/A,6.67,6.67,N/A,N/A,136,136,N/A,N/A,N/A,178,178,N/A,N/A,N/A,N/A,N/A,2640,273,N/A,N/A,N/A,N/A,N/A,29.6
193.7,6.0,N/A,193.7,193.7 x 6.0,N/A,N/A,27.8,N/A,193.7,193.7,N/A,6.0,6.0,N/A,N/A,N/A,32.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.609,21.9,1560,1560,N/A,N/A,6.64,6.64,N/A,N/A,161,161,N/A,N/A,N/A,211,211,N/A,N/A,N/A,N/A,N/A,3120,322,N/A,N/A,N/A,N/A,N/A,35.4
193.7,6.3,N/A,193.7,193.7 x 6.3,N/A,N/A,29.1,N/A,193.7,193.7,N/A,6.3,6.3,N/A,N/A,N/A,30.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.609,20.9,1630,1630,N/A,N/A,6.63,6.63,N/A,N/A,168,168,N/A,N/A,N/A,221,221,N/A,N/A,N/A,N/A,N/A,3260,337,N/A,N/A,N/A,N/A,N/A,37.1
193.7,8.0,N/A,193.7,193.7 x 8.0,N/A,N/A,36.6,N/A,193.7,193.7,N/A,8.0,8.0,N/A,N/A,N/A,24.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.609,16.6,2020,2020,N/A,N/A,6.57,6.57,N/A,N/A,208,208,N/A,N/A,N/A,276,276,N/A,N/A,N/A,N/A,N/A,4030,416,N/A,N/A,N/A,N/A,N/A,46.7
193.7,10.0,N/A,193.7,193.7 x 10.0,N/A,N/A,45.3,N/A,193.7,193.7,N/A,10.0,10.0,N/A,N/A,N/A,19.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.609,13.4,2440,2440,N/A,N/A,6.50,6.50,N/A,N/A,252,252,N/A,N/A,N/A,338,338,N/A,N/A,N/A,N/A,N/A,4880,504,N/A,N/A,N/A,N/A,N/A,57.7
193.7,12.5,N/A,193.7,193.7 x 12.5,N/A,N/A,55.9,N/A,193.7,193.7,N/A,12.5,12.5,N/A,N/A,N/A,15.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.609,10.9,2930,2930,N/A,N/A,6.42,6.42,N/A,N/A,303,303,N/A,N/A,N/A,411,411,N/A,N/A,N/A,N/A,N/A,5870,606,N/A,N/A,N/A,N/A,N/A,71.2
219.1,4.5,N/A,219.1,219.1 x 4.5,N/A,N/A,23.8,N/A,219.1,219.1,N/A,4.5,4.5,N/A,N/A,N/A,48.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.688,28.9,1750,1750,N/A,N/A,7.59,7.59,N/A,N/A,159,159,N/A,N/A,N/A,207,207,N/A,N/A,N/A,N/A,N/A,3490,319,N/A,N/A,N/A,N/A,N/A,30.3
219.1,5.0,N/A,219.1,219.1 x 5.0,N/A,N/A,26.4,N/A,219.1,219.1,N/A,5.0,5.0,N/A,N/A,N/A,43.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.688,26.1,1930,1930,N/A,N/A,7.57,7.57,N/A,N/A,176,176,N/A,N/A,N/A,229,229,N/A,N/A,N/A,N/A,N/A,3860,352,N/A,N/A,N/A,N/A,N/A,33.6
219.1,6.0,N/A,219.1,219.1 x 6.0,N/A,N/A,31.5,N/A,219.1,219.1,N/A,6.0,6.0,N/A,N/A,N/A,36.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.688,21.8,2280,2280,N/A,N/A,7.54,7.54,N/A,N/A,208,208,N/A,N/A,N/A,273,273,N/A,N/A,N/A,N/A,N/A,4560,417,N/A,N/A,N/A,N/A,N/A,40.2
219.1,6.3,N/A,219.1,219.1 x 6.3,N/A,N/A,33.1,N/A,219.1,219.1,N/A,6.3,6.3,N/A,N/A,N/A,34.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.688,20.8,2390,2390,N/A,N/A,7.53,7.53,N/A,N/A,218,218,N/A,N/A,N/A,285,285,N/A,N/A,N/A,N/A,N/A,4770,436,N/A,N/A,N/A,N/A,N/A,42.1
